peg_x,peg_y,peg_z,peg_qw,peg_qx,peg_qy,peg_qz,q_init_ur_shoulder_pan_joint,q_init_ur_shoulder_lift_joint,q_init_ur_elbow_joint,q_init_ur_wrist_1_joint,q_init_ur_wrist_2_joint,q_init_ur_wrist_3_joint,q_reach_ur_shoulder_pan_joint,q_reach_ur_shoulder_lift_joint,q_reach_ur_elbow_joint,q_reach_ur_wrist_1_joint,q_reach_ur_wrist_2_joint,q_reach_ur_wrist_3_joint,peg_site_x,peg_site_y,peg_site_z,ee_init_x,ee_init_y,ee_init_z
-0.44370234,-0.8037675,0.548331,-0.19074441,0.60881764,0.0033565043,0.7700301,-1.7487167,-5.499612,-1.4024982,-1.950096,3.6379156,-4.4339046,-1.6138281,-5.4941726,-1.5287491,-1.6637313,3.5336046,-4.2516656,-0.44370234,-0.8037675,0.548331,-0.5373359,-0.8275101,0.52246505
0.27432558,-0.18848194,1.2152896,-0.012978299,-0.20324247,-0.9657527,0.16076621,-1.2487832,5.00216,2.3534272,-2.9330196,1.4314301,5.567713,-1.2702442,5.321448,2.2971003,-3.200542,1.4457427,5.5768723,0.27432558,-0.18848194,1.2152896,0.27835372,-0.15690231,1.3100867
0.10483005,0.14742844,1.3129891,-0.39095238,-0.8495928,0.16485848,0.3133209,-3.093901,-2.1662605,2.215915,3.723045,2.163487,-2.289575,-2.9363754,-1.8420162,2.175249,3.3803525,2.0209792,-2.4124327,0.10483005,0.14742844,1.3129891,0.17095944,0.20352778,1.3627863
-0.28157637,-0.075366735,0.6740776,0.6474,-0.044173237,-0.6562034,-0.3851221,-0.084955744,2.6528518,1.0198588,5.944448,-2.0707312,-4.147717,-0.15592419,2.940232,0.38844505,6.2384424,-2.0137897,-4.1932263,-0.28157637,-0.075366735,0.6740776,-0.20001356,-0.13162997,0.6605884
0.20927086,0.05135579,-0.108981185,0.62809694,0.31582046,0.0742628,0.70727414,-0.48581094,-6.1428185,1.1542836,-5.37216,-4.730015,-3.7474167,-0.48610365,-6.2616343,1.1040651,-5.1915636,-4.7288914,-3.747955,0.20927086,0.05135579,-0.108981185,0.15526769,0.08052413,-0.18792967
0.087403804,-0.09894048,0.1483571,0.8955222,0.2699921,-0.31569386,0.15962993,1.5329332,-2.829163,-1.7497946,2.278479,-2.0494585,-3.713902,1.4361452,-2.7402353,-1.6001512,1.9949493,-1.9793409,-3.7968116,0.087403804,-0.09894048,0.1483571,0.1353262,-0.040504854,0.08286876
-0.21670258,-0.29433388,0.23732017,0.16279413,-0.37192896,0.34476593,-0.8463471,2.0797818,3.8206904,-1.889724,-1.3587466,1.1425515,3.4926734,2.1421165,3.8865886,-1.7250769,-1.5731871,1.2072072,3.5111148,-0.21670258,-0.29433388,0.23732017,-0.29088396,-0.24808513,0.1887591
0.735742,-0.4052636,0.058369543,-0.29539955,-0.013527848,-0.239614,-0.92473847,-0.41981536,-0.19231255,0.86960924,4.00371,-2.0107255,-1.3671554,-0.33639583,-0.3070409,0.87844855,4.153742,-2.0548468,-1.2862545,0.735742,-0.4052636,0.058369543,0.71908367,-0.44878042,-0.03011088
-0.077656075,0.08745401,1.3444537,0.38977966,0.23238418,0.85306215,0.2575935,4.120816,-3.2217143,2.0245426,3.6233327,-2.102304,3.4479306,3.9963114,-3.3785884,1.8830017,4.0114355,-2.018,3.5498388,-0.077656075,0.08745401,1.3444537,-0.15612946,0.06162108,1.4007971
0.5280725,-0.6461181,0.8050542,-0.1713778,-0.22273852,0.94751847,0.1524005,-1.2248651,-0.28704324,1.5560778,-2.470675,1.2747319,0.055936713,-1.275854,-0.08845359,1.486603,-2.6261334,1.2519902,0.11031886,0.5280725,-0.6461181,0.8050542,0.5673383,-0.66736406,0.8945349
0.6960222,-0.43990004,0.4346892,-0.67330456,0.2991607,0.65188324,0.17947713,-0.7818197,-0.6252274,2.2679315,-1.6733437,1.4773322,-1.7376381,-0.784946,-0.55905205,2.505119,-1.9656432,1.4895326,-1.7294098,0.6960222,-0.43990004,0.4346892,0.77306694,-0.5035849,0.43757898
-0.19990891,0.009395289,1.2006046,-0.5119488,-0.8236757,0.114393674,-0.21536203,4.2040997,0.29778492,-1.9808812,-0.9342343,-4.014829,2.961463,4.3177385,0.3590017,-1.7517024,-1.3018869,-4.13137,2.8708308,-0.19990891,0.009395289,1.2006046,-0.22367387,0.098658465,1.2389101
0.5428492,0.053989954,0.8380016,-0.11034929,0.41958147,0.7107071,-0.55377775,-1.2069966,-1.0861982,2.0612974,6.0529623,-0.6201064,-4.1220617,-1.4866713,-1.1123976,2.0921679,5.8240485,-0.789028,-3.844746,0.5428492,0.053989954,0.8380016,0.6050053,0.12344461,0.87423223
-0.48621222,-0.6421031,0.7139694,-0.38740292,0.8570844,-0.072568424,-0.3317517,-5.738466,3.3762136,-1.0540259,-0.610752,3.63187,4.0861807,-5.8473105,3.19361,-0.8345431,-0.48588222,3.6581657,4.2741218,-0.48621222,-0.6421031,0.7139694,-0.434967,-0.7133254,0.7619414
0.2365063,-0.07091907,0.6598367,0.02075492,0.97907096,-0.18218681,0.08830229,3.2733414,-3.5090134,-1.7003676,-5.6179476,4.641494,-5.2137794,3.151817,-3.6785426,-1.3257078,-5.7958994,4.6107736,-5.079807,0.2365063,-0.07091907,0.6598367,0.2199717,-0.06363745,0.7581911
0.0722044,0.245488,1.3160884,0.5161054,-0.29943103,-0.77241546,0.2176019,2.2855783,-1.6174682,1.7130495,-2.6700683,-3.9127822,1.2307707,2.4617665,-1.4066131,1.5751258,-2.8284361,-4.032332,1.1074222,0.0722044,0.245488,1.3160884,0.16496532,0.24819621,1.3533453
-0.24743356,0.52992743,1.0696541,-0.6764401,-0.6592042,0.15158072,0.2913793,-0.0023091563,-2.730218,0.83491874,2.0290587,-5.658653,0.072294235,0.13967466,-2.6560738,0.58617204,2.1614056,-5.5248127,0.11539775,-0.24743356,0.52992743,1.0696541,-0.1885108,0.6102764,1.0611595
0.19691889,0.1353827,0.36968973,0.35959834,0.1664378,0.18520965,-0.8992691,4.781232,-2.701903,2.7021465,5.1825886,-1.410694,-3.8881235,4.651889,-2.5552628,2.4654455,5.286285,-1.4755353,-3.98819,0.19691889,0.1353827,0.36968973,0.21353315,0.18066351,0.28209054
-0.8021467,0.16463287,0.64852804,-0.1596051,0.8541146,-0.2191117,0.44385198,2.3678815,5.854208,2.0792701,-2.4499722,-5.401313,-1.587512,2.2274966,6.078054,2.1655512,-2.8294413,-5.466814,-1.480282,-0.8021467,0.16463287,0.64852804,-0.88496107,0.1568193,0.70403236
0.9028481,-0.12117519,0.7983699,0.11786943,-0.31215972,0.110782236,0.9361572,3.403129,-1.9060822,-1.0938416,-1.16477,-5.176259,5.101161,3.4509208,-1.8175694,-0.983789,-1.388873,-5.1657925,5.148675,0.9028481,-0.12117519,0.7983699,0.95868266,-0.14927593,0.7203132
0.035393227,0.8559299,0.79635984,-0.32490557,0.12375608,0.80158466,-0.48639777,1.8522532,-0.99192506,1.72511,-1.2411234,2.5457585,-3.1339517,1.9812824,-0.9586034,1.8952658,-1.5972773,2.6153758,-3.2959437,0.035393227,0.8559299,0.79635984,0.09952003,0.9258659,0.82793057
-0.03353495,-0.62096757,-0.004312387,0.7518256,-0.63504475,-0.16363816,-0.068549454,1.5789815,-3.539586,-1.7843719,5.156566,4.525726,3.4570744,1.3046806,-3.612,-1.8592993,5.296436,4.24749,3.3982267,-0.03353495,-0.62096757,-0.004312387,-0.017635878,-0.71869963,-0.018300524
-0.25655153,0.1820632,-0.04594843,-0.29712656,-0.026325477,0.16750659,-0.9396618,-3.6414936,6.2130413,2.3664925,2.305202,-1.9207298,1.6750407,-3.5871267,5.9530544,2.5875812,2.351159,-1.8950176,1.7209909,-0.25655153,0.1820632,-0.04594843,-0.25154483,0.21510752,-0.14019814
0.0043157996,0.9427082,0.8273099,0.2009526,0.25824788,-0.8762029,0.35382855,-4.806918,-0.66592926,1.7629124,4.449498,1.6708813,3.8541925,-4.7847977,-0.59378016,1.9456449,4.209348,1.6890363,3.8471816,0.0043157996,0.9427082,0.8273099,0.021255756,1.0150924,0.8941946
-0.3509871,0.2737804,1.1541444,-0.0068254373,-0.88070405,0.20176284,-0.42849216,0.84215194,4.475238,2.341803,0.5292429,5.418359,3.6090946,0.29880747,4.4124436,2.4480538,0.1834665,5.118355,4.1411605,-0.3509871,0.2737804,1.1541444,-0.42618662,0.2922734,1.2174139
-0.09058699,-0.9386833,0.43854937,0.92528105,-0.35834038,-0.08607984,-0.08965174,-2.0074239,-0.9400804,1.7169907,3.2660422,-1.1884067,-0.1088138,-2.0821488,-1.1773882,1.8737122,3.3711045,-1.1358947,-0.17023067,-0.09058699,-0.9386833,0.43854937,-0.08108255,-1.0065398,0.36571288
0.43191093,0.37989312,0.7666372,-0.080809765,-0.6303134,0.6559363,0.40733573,4.7178206,2.4153938,1.0821159,1.8412387,0.9043707,1.2856236,4.8156548,2.408578,0.8979004,2.0522335,0.9618634,1.2179128,0.43191093,0.37989312,0.7666372,0.49386197,0.33664298,0.8321467
-0.2835658,-0.15438488,0.088276535,-0.72616583,-0.43652138,-0.48527566,-0.21596256,-1.5231389,0.052120227,1.744344,4.170498,-2.6286094,-6.0119796,-1.3326163,-0.032271244,1.6002991,4.4537683,-2.433783,-5.937003,-0.2835658,-0.15438488,0.088276535,-0.37289837,-0.111947775,0.07348521
